population,arks,mum,dad,sex,date
NT F2,B70080,B60065,B60076,female,2017
NT F2,B70081,B60065,B60076,female,2017
NT F2,B70082,B60065,B60076,female,2017
NT F2,B70083,B60065,B60076,male,2017
QLD,B50106,unknown,unknown,male,2015
QLD,B50107,unknown,unknown,male,2015
QLD,B50113,unknown,unknown,female,2015
QLD,B50114,unknown,unknown,female,2015
QLD,B50115,unknown,unknown,male,2015
QLD,B50116,unknown,unknown,male,2015
QLD,B50131,unknown,unknown,female,2015
QLD,B50132,unknown,unknown,female,2015
QLD,B50133,unknown,unknown,female,2015
QLD,B50140,unknown,unknown,male,2015
QLD,B50141,unknown,unknown,male,2015
QLD,B60133,unknown,unknown,female,2016
QLD,B60134,unknown,unknown,female,2016
QLD,B60135,unknown,unknown,male,2016
QLD,B60136,unknown,unknown,male,2016
QLD,B60137,unknown,unknown,female,2016
QLD,B60138,unknown,unknown,female,2016
QLD,B60139,unknown,unknown,male,2016
QLD,B60140,unknown,unknown,male,2016
QLD,B60141,unknown,unknown,female,2016
QLD,B60142,unknown,unknown,female,2016
QLD,B60143,unknown,unknown,female,2016
QLD,B60144,unknown,unknown,male,2016
QLD,B60145,unknown,unknown,male,2016
QLD F1,B50276,B50131,B50116,male,2016
QLD F1,B60005,B50133,B50106,female,2016
QLD F1,B60006,B50133,B50106,male,2016
QLD F1,B60007,B50133,B50106,male,2016
QLD F1,B60008,B50133,B50106,male,2016
QLD F1,B60009,B50133,B50106,male,2016
QLD F1,B60010,B50133,B50106,male,2016
QLD F1,B60011,B50133,B50106,female,2016
QLD F1,B60012,B50133,B50106,male,2016
QLD F1,B60013,B50133,B50106,male,2016
QLD F1,B60014,B50131,B50116,male,2016
QLD F1,B60016,B50131,B50116,female,2016
QLD F1,B60017,B50131,B50116,male,2016
QLD F1,B60018,B50131,B50116,female,2016
QLD F1,B60019,B50131,B50116,female,2016
QLD F1,B60020,B50132,B50115,male,2016
QLD F1,B60021,B50132,B50115,male,2016
QLD F1,B60022,B50132,B50115,female,2016
QLD F1,B60023,B50132,B50115,female,2016
QLD F1,B60024,B50132,B50115,male,2016
QLD F1,B60025,B50132,B50115,male,2016
QLD F1,B60026,B50132,B50115,female,2016
QLD F1,B60027,B50113,B50140,female,2016
QLD F1,B60028,B50113,B50140,male,2016
QLD F1,B60029,B50113,B50140,female,2016
QLD F2,B70042,B60022,B60028,female,2017
QLD F2,B70043,B60022,B60028,female,2017
QLD F2,B70044,B60022,B60028,male,2017
QLD F2,B70045,B60022,B60028,male,2017
QLD F2,B70046,B60022,B60028,male,2017
QLD F2,B70047,B60022,B60028,female,2017
QLD F2,B70057,B60018,B60006,female,2017
QLD F2,B70058,B60018,B60006,female,2017
QLD F2,B70059,B60018,B60006,male,2017
QLD F2,B70060,B60018,B60006,male,2017
QLD F2,B70061,B60018,B60006,male,2017
QLD F2,B70062,B60018,B60006,male,2017
QLD F2,B70063,B60018,B60006,male,2017
QLD F2,B70065,B60026,B60140,male,2017
QLD F2,B70066,B60026,B60140,female,2017
QLD F2,B70067,B60026,B60140,male,2017
QLD F2,B70068,B60026,B60140,male,2017
QLD F2,B70069,B60026,B60140,male,2017
QLD F2,B70070,B60026,B60140,male,2017
QLD F2,B70071,B60026,B60140,female,2017
QLD F2,B70084,B60023,B60010,male,2017
QLD F2,B70085,B60023,B60010,male,2017
QLD F2,B70086,B60023,B60010,male,2017
QLD F2,B70087,B60023,B60010,female,2017
QLD F2,B70088,B60023,B60010,male,2017
QLD F2,B70089,B60023,B60010,female,2017
QLD F2,B70090,B60023,B60010,male,2017
